Forecast horizon,Model,Test examples,Mean error (km),Median error (km),90th percentile error (km)
1 day,Constant velocity baseline,365,0.24868956719945892,0.032946100021216444,0.43733558599943934
1 day,Kalman filter,365,0.3313821134663683,0.05524188108498382,0.8129308365945616
1 day,Random Forest,365,1.0611181384188604,0.2899315338228116,4.3388342288225035
1 day,Wind + current XGBoost,365,1.7575519535797153,1.272682209750467,4.465592472653673
3 day,Constant velocity baseline,363,1.115624155634469,0.1802353942635901,3.060860143375218
3 day,Kalman filter,363,1.2401619704261593,0.28393889115633836,3.6375546805630274
3 day,Random Forest,363,3.534958755143184,1.1362921475798133,10.51419969231568
3 day,Wind + current XGBoost,363,5.817702212596146,3.423785757009733,13.251387838302294
7 day,Constant velocity baseline,359,3.496958430790776,1.460562845428,8.308068258758256
7 day,Kalman filter,359,3.6644919717900297,1.6091111526134387,9.509443619056508
7 day,Random Forest,359,4.629101119018632,2.1006449606428768,12.456593158050302
7 day,Wind + current XGBoost,359,13.072705808990358,6.275807595607175,33.8417190521989
